store_id,context_len,mode,mae_all,mae_open,mae_closed,n_open,n_closed,pred_path
957,512,covariate,267.01561939999993,283.09088461538454,162.52639549999998,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_957.csv
963,512,covariate,430.15408713333346,470.0842846153847,170.6078035,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_963.csv
972,512,covariate,188.9821979,202.3908807692308,101.82575925,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_972.csv
973,512,covariate,211.17296799999997,221.5795615384615,143.53011,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_973.csv
981,512,covariate,165.89805926666662,186.18372692307688,34.0412195,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_981.csv
984,512,covariate,292.49401013333323,310.4080807692307,176.052551,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_984.csv
988,512,covariate,301.43334563666673,323.7623923076923,156.294542275,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_988.csv
994,512,covariate,249.82572126666673,268.314926923077,129.6458845,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_994.csv
995,512,covariate,269.6223216666668,291.4263692307693,127.89601250000001,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_995.csv
998,512,covariate,231.7497537,251.79376923076927,101.46365275,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_998.csv
1001,512,covariate,229.47457620333333,252.58087692307691,79.283621525,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1001.csv
1024,512,covariate,226.77196111333333,254.92435384615385,43.78140835,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1024.csv
1031,512,covariate,184.2941653333333,187.7227038461538,162.008665,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1031.csv
1032,512,covariate,267.0815752666667,295.5495730769231,82.03958949999999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1032.csv
1034,512,covariate,260.53918223333335,289.9498653846154,69.36974175,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1034.csv
1040,512,covariate,313.8788559333334,332.89785384615385,190.2553695,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1040.csv
1046,512,covariate,301.46129923333325,318.5515884615384,190.37441925,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1046.csv
1051,512,covariate,225.3639086666668,233.23265769230784,174.21704,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1051.csv
1062,512,covariate,302.665916,320.46985769230764,186.940295,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1062.csv
1066,512,covariate,276.60263699999996,274.48406923076914,290.37332749999996,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1066.csv
1069,512,covariate,236.46139883333333,253.88196923076924,123.22769125,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1069.csv
1070,512,covariate,229.59507576000007,247.4834923076924,113.3203682,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1070.csv
1073,512,covariate,465.96255566666684,471.794876923077,428.0524675,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1073.csv
1075,512,covariate,293.90425713333326,310.34419230769225,187.0446785,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1075.csv
1079,512,covariate,419.8594089666666,468.2709923076922,105.18411725,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1079.csv
1081,512,covariate,340.27006,340.27006,,30,0,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1081.csv
1082,512,covariate,220.52579599999999,232.92558461538462,139.92717000000002,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1082.csv
1086,512,covariate,251.71498293333332,263.5625307692308,174.705922,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1086.csv
1113,512,covariate,293.7786881666667,316.98553846153845,142.93416125,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1113.csv
1115,512,covariate,275.75427001166656,308.35044999999997,63.87910008749999,26,4,outputs/extension3\forecasts\ctx_512\covariate\forecast_store_1115.csv
