context_length,store_id,test_name,MAE,RMSE,PercentDifference,Interval_Covariates,Interval_Noise,Interval_StrongNoise,Interval_Shuffle,Interval_MissingFuture,Interval_TimeShift,Interval_TrendBreak,Interval_FeatureDrop,Interval_PartialMask,Interval_Scaling
512,1,Noise,70.03934309999993,86.66735981294819,-2.6129596986127055,1095.1685390466666,938.1522585333331,,,,,,,,
512,1,StrongNoise,319.2284286666667,376.0463036186469,-4.299646095662902,1095.1685390466666,,1103.0275729999998,,,,,,,
512,1,Shuffle,327.4908453333335,379.83771589591316,-1.1721172807604148,1095.1685390466666,,,1107.4638545333332,,,,,,
512,1,MissingFuture,77.20790863333328,100.22587643290342,-2.501936734455722,1095.1685390466666,,,,964.9693640666666,,,,,
512,1,TimeShift,231.47198699999998,293.6368207663423,-6.98701462593002,1095.1685390466666,,,,,1050.1984638666665,,,,
512,1,TrendBreak,713.7439054333332,947.2768224903235,39.623858431852824,1095.1685390466666,,,,,,1859.1621986666664,,,
512,1,FeatureDrop,319.0396276666668,371.79088759634374,-2.858205152889539,1095.1685390466666,,,,,,,1116.4164899,,
512,1,PartialMask,174.61279533333334,219.45449746990283,-2.976450891337497,1095.1685390466666,,,,,,,,1127.5769186666666,
512,1,Scaling,66.87581746666662,83.28913957238582,-2.640307081594897,1095.1685390466666,,,,,,,,,952.2396580333333
512,10,Noise,190.5539463899999,217.46930627756103,-163.45800359975084,1970.0020027866667,1516.5943383333336,,,,,,,,
512,10,StrongNoise,722.23697561,802.8347488174011,134.84783154876249,1970.0020027866667,,1863.8943953333335,,,,,,,
512,10,Shuffle,746.3228534433334,822.056017535095,212.8036194172096,1970.0020027866667,,,1886.906111333333,,,,,,
512,10,MissingFuture,163.0207028899999,209.6496694627644,-72.29716598225795,1970.0020027866667,,,,1567.2541044843335,,,,,
512,10,TimeShift,603.0602134433333,678.7997633373374,38.14073282015901,1970.0020027866667,,,,,1690.5946833333333,,,,
512,10,TrendBreak,1169.2850446099997,1541.0515696807606,1265.0049520878135,1970.0020027866667,,,,,,3054.475354666667,,,
512,10,FeatureDrop,726.7372269433333,801.4495324758697,178.59684893547052,1970.0020027866667,,,,,,,1837.0249936666664,,
512,10,PartialMask,354.1524456766667,445.72297685994715,77.57107711426315,1970.0020027866667,,,,,,,,1944.2933866666667,
512,10,Scaling,205.63237005666664,237.27786250465954,-143.86995078834218,1970.0020027866667,,,,,,,,,1525.7683083333334
512,1001,Noise,121.46234423333333,146.93270576654626,-6.160115393550707,2010.6796113333335,1652.0445514999994,,,,,,,,
512,1001,StrongNoise,709.9364983333331,812.8916442439005,-4.158921089162257,2010.6796113333335,,2190.864703,,,,,,,
512,1001,Shuffle,789.2887633333335,895.3665224168826,-4.889934340126815,2010.6796113333335,,,2080.4250773333333,,,,,,
512,1001,MissingFuture,197.04978173333328,243.44545808128626,-7.428171232614392,2010.6796113333335,,,,1760.0817081333332,,,,,
512,1001,TimeShift,585.3705046666668,690.4035866525675,-11.794607296612943,2010.6796113333335,,,,,1870.2921833333332,,,,
512,1001,TrendBreak,1741.8163769999999,2391.271306358596,66.63176281198311,2010.6796113333335,,,,,,3898.5588290000005,,,
512,1001,FeatureDrop,740.4793286666666,835.0719869770597,-4.480760654796767,2010.6796113333335,,,,,,,2109.7348099666665,,
512,1001,PartialMask,599.2690563333332,670.8012699098912,4.435996329620953,2010.6796113333335,,,,,,,,2204.9940030000002,
512,1001,Scaling,182.94502723333326,231.6260070803587,-7.7147445478843295,2010.6796113333335,,,,,,,,,1633.9398239
512,1002,Noise,214.10011759999998,258.77982833032576,-7.292540016589394,2241.2977623333336,1800.4077903333332,,,,,,,,
512,1002,StrongNoise,637.0623213333332,738.9471335760978,-4.270051206485938,2241.2977623333336,,2058.500537333333,,,,,,,
512,1002,Shuffle,674.9863089999999,771.1318978086266,-3.353265826000631,2241.2977623333336,,,2057.9531039666667,,,,,,
512,1002,MissingFuture,207.6758630566666,263.1857361254405,-7.4270607999772285,2241.2977623333336,,,,1841.034049333334,,,,,
512,1002,TimeShift,500.2571808333334,593.4739507068714,-10.601814888209061,2241.2977623333336,,,,,1936.5314323333332,,,,
512,1002,TrendBreak,621.2392314999998,833.2682031622172,9.634058933812781,2241.2977623333336,,,,,,2690.9697340000002,,,
512,1002,FeatureDrop,660.9467263333333,755.8279487555271,-4.920670011279033,2241.2977623333336,,,,,,,2075.057809666667,,
512,1002,PartialMask,406.694231,485.1961266016683,-8.77165062936667,2241.2977623333336,,,,,,,,2023.8298990000003,
512,1002,Scaling,258.8327586666666,310.05359930616424,-8.403621843161154,2241.2977623333336,,,,,,,,,1842.1089336666664
512,1003,Noise,420.5975620666668,472.9307854662321,-21.349163569010578,2401.6582004999996,2632.2986979999996,,,,,,,,
512,1003,StrongNoise,1289.9862046666665,1435.770935790041,-67.30655080508862,2401.6582004999996,,3362.1614029999996,,,,,,,
512,1003,Shuffle,1336.7975816666667,1507.3918975084096,-58.101484724181105,2401.6582004999996,,,3375.1108179999997,,,,,,
512,1003,MissingFuture,359.5111928333333,405.57151525437115,-28.811987704523506,2401.6582004999996,,,,2563.7692776666663,,,,,
512,1003,TimeShift,1089.645858333333,1254.319231603132,-72.78369436410202,2401.6582004999996,,,,,3153.8073503333335,,,,
512,1003,TrendBreak,1515.8847522666667,2000.6966480952153,63.135459479002776,2401.6582004999996,,,,,,4326.875736666666,,,
512,1003,FeatureDrop,1326.6042133333333,1472.1369703775288,-69.3203695014501,2401.6582004999996,,,,,,,3438.370268333334,,
512,1003,PartialMask,611.8385843333333,738.0171446599195,-33.56871116385527,2401.6582004999996,,,,,,,,3186.163495333333,
512,1003,Scaling,550.94736,620.5282251214811,-33.92513054095021,2401.6582004999996,,,,,,,,,2755.409371
512,1005,Noise,136.50007918333318,173.12789307440383,-2.986433757089951,1372.4371800000001,1321.3164746666664,,,,,,,,
512,1005,StrongNoise,365.4016826666667,451.7305905100204,-15.773107705979086,1372.4371800000001,,1446.5247725333334,,,,,,,
512,1005,Shuffle,387.81488333333346,472.23044481246023,-13.283600134707207,1372.4371800000001,,,1429.6430503333333,,,,,,
512,1005,MissingFuture,141.61562779999997,172.59109597034274,-2.712998489245769,1372.4371800000001,,,,1264.241944666667,,,,,
512,1005,TimeShift,284.16290399999997,353.52373228978377,-19.55477108377358,1372.4371800000001,,,,,1342.57214,,,,
512,1005,TrendBreak,878.9759552333333,1154.7761895225922,34.160290442049686,1372.4371800000001,,,,,,2752.846825333333,,,
512,1005,FeatureDrop,366.21314433333333,448.3753820728524,-15.066919518599947,1372.4371800000001,,,,,,,1430.5020273666669,,
512,1005,PartialMask,238.59563500000007,286.59468705085493,-13.358441001544028,1372.4371800000001,,,,,,,,1569.262968666667,
512,1005,Scaling,123.00844989999995,167.3827805175865,-4.972796988047237,1372.4371800000001,,,,,,,,,1321.8624439999999
512,1006,Noise,156.47922453333322,202.14792749658827,-18.64351533671061,1817.6048753333332,1560.2054258666665,,,,,,,,
512,1006,StrongNoise,731.481124,841.7307561557111,-3.8489931128053247,1817.6048753333332,,2002.845872,,,,,,,
512,1006,Shuffle,777.199821,879.8292279050225,0.005706137817990027,1817.6048753333332,,,1983.5526329999998,,,,,,
512,1006,MissingFuture,210.34315900000004,271.04606500688095,-25.687899104318213,1817.6048753333332,,,,1664.8517230000002,,,,,
512,1006,TimeShift,529.4635683333333,619.6395293354814,-23.875233240318984,1817.6048753333332,,,,,1860.3486553333335,,,,
512,1006,TrendBreak,2006.2458274666665,2716.628172232739,170.65695894556134,1817.6048753333332,,,,,,3711.031077,,,
512,1006,FeatureDrop,751.9972113333334,859.1473602198181,-5.16622417396247,1817.6048753333332,,,,,,,2030.663396666667,,
512,1006,PartialMask,562.2226079799999,649.5670600287846,-2.863558614441777,1817.6048753333332,,,,,,,,2286.9584653333336,
512,1006,Scaling,160.4735673333333,205.08876631011907,-22.243309903460442,1817.6048753333332,,,,,,,,,1609.923827
512,1007,Noise,159.73358899999997,208.3435145100906,-5.77545090199089,2424.149915666667,1954.6238980000005,,,,,,,,
