store_id,context_len,mae_all,mae_open,mae_closed,n_open,n_closed
1,128,372.29503586666664,385.93575384615383,283.630369,26,4
2,128,529.4347666666667,552.6510307692307,378.52905,26,4
3,128,795.959814,856.9266269230769,399.67553000000004,26,4
4,128,963.2844408,1047.1037615384616,418.458856,26,4
5,128,477.0162547999999,516.1917576923076,222.375486,26,4
6,128,544.4776695333334,592.5176346153846,232.2178965,26,4
7,128,1257.0254426666665,1383.956019230769,431.976695,26,4
8,128,588.5886326666667,627.0440692307692,338.628295,26,4
9,128,829.1299301333333,898.6587269230769,377.192751,26,4
10,128,532.2133706666667,581.7369576923077,210.310055,26,4
11,128,715.7567540666665,765.6560807692308,391.4111305,26,4
12,128,714.8767119999998,730.1215115384614,615.785515,26,4
14,128,629.0833984,684.8330076923077,266.710938,26,4
15,128,698.1083099999998,713.616146153846,597.307375,26,4
16,128,532.3044363333333,550.4544500000001,414.3293475,26,4
17,128,527.9671864999999,560.9941961538461,313.29162375000004,26,4
18,128,585.1202410000001,616.4775307692308,381.29785749999996,26,4
19,128,803.6147869999999,890.7166192307691,237.4528775,26,4
21,128,627.7747513333331,668.3131346153846,364.27526,26,4
23,128,559.48759,590.7788846153845,356.094175,26,4
24,128,909.8504046666671,975.7163230769233,481.721935,26,4
25,128,1251.630184,1388.2639807692306,363.51050499999997,26,4
26,128,669.5321365333333,703.2703846153844,450.233524,26,4
27,128,1332.9264036666668,1440.8985730769232,631.1073025000001,26,4
28,128,400.19901899999996,418.8898499999999,278.7086175,26,4
29,128,1144.0618046666666,1260.088346153846,389.88928500000003,26,4
30,128,527.625757,575.7592961538462,214.75775249999998,26,4
31,128,489.5870726666668,507.30343461538473,374.43071999999995,26,4
33,128,1012.2857479999999,1104.9792730769232,409.77783500000004,26,4
34,128,694.4648899999997,725.3066769230768,493.99327500000004,26,4
35,128,1831.9566776666666,1987.4673076923075,821.1375825,26,4
37,128,533.7254256666666,556.5760807692307,385.1961675,26,4
38,128,806.7426076666667,874.5993807692305,365.67358249999995,26,4
39,128,1670.714175,1873.7875769230773,350.7370625,26,4
40,128,355.72814950000003,387.6699500000001,148.10644625000003,26,4
42,128,1249.0320796666667,1330.830076923077,717.3450975000001,26,4
43,128,739.8028136666668,789.276703846154,418.22252749999996,26,4
44,128,515.4919556666669,543.8441961538462,331.2023925,26,4
45,128,428.4169825000001,452.1873384615384,273.90966875,26,4
47,128,669.3280896666664,702.5226269230769,453.5635975,26,4
48,128,371.9906467333333,410.81581153846156,119.6270755,26,4
49,128,661.1948928333334,699.4419346153846,412.58912125,26,4
50,128,510.5081656666667,542.2487076923076,304.1946425,26,4
53,128,472.2997696666667,514.0911461538461,200.6558225,26,4
54,128,682.7439938999999,729.3234115384615,379.97777924999997,26,4
55,128,451.5404166666667,468.1536153846155,343.554625,26,4
56,128,559.7096999,596.0038499999999,323.79772425,26,4
57,128,714.8196183333333,742.2292923076924,536.6567375,26,4
59,128,512.4671093333333,556.7759576923077,224.45959499999998,26,4
60,128,769.2981222000001,777.8912961538463,713.4424915,26,4
61,128,571.8684843333332,593.8910692307692,428.7216825,26,4
62,128,735.2806803333334,797.6984115384614,329.56542750000006,26,4
63,128,807.078750333333,840.4004192307691,590.4879025,26,4
64,128,1077.3458249999999,1111.5500576923077,855.0183125,26,4
65,128,451.0862613333333,471.8529884615385,316.102535,26,4
66,128,588.043028,606.5013461538462,468.06396,26,4
67,128,653.6858931666665,691.1382076923076,410.24584875,26,4
68,128,1189.9812291666667,1321.6632307692305,334.04821875,26,4
69,128,755.0211579999997,787.3227153846152,545.061035,26,4
70,128,644.0635236666666,704.4007269230768,251.87170249999997,26,4
71,128,959.2186623333333,1023.0533653846154,544.2930925000001,26,4
73,128,378.96313246666665,405.1519653846153,208.73571850000002,26,4
74,128,749.5225238333335,820.9413846153844,285.29992875,26,4
75,128,558.4079058333332,602.28455,273.20971875,26,4
77,128,613.0308513333332,620.9937192307691,561.27221,26,4
