context_length,store_id,mode,wql,mae,rmse,p10_under,p90_over
512,1,covariate,0.03053217271402241,181.9809109,231.41770526391267,0.06666666666666667,0.1
512,2,covariate,0.04543518582101627,313.5255259999998,392.54209119340055,0.06666666666666667,0.06666666666666667
512,3,covariate,0.045120541634326855,406.27675259999995,527.1984959575992,0.03333333333333333,0.2
512,4,covariate,0.049594880551760645,682.8356560000003,846.1732078758777,0.03333333333333333,0.3
512,5,covariate,0.03606621302333701,229.8331781333333,279.90264224688656,0.03333333333333333,0.16666666666666666
512,6,covariate,0.033256306386955835,192.10679566666664,248.5031647462949,0.06666666666666667,0.1
512,7,covariate,0.035615889509930505,487.78504696666675,639.0338106352622,0.1,0.16666666666666666
512,8,covariate,0.036495068129034094,334.0602953333333,411.0105388644374,0.0,0.2
512,9,covariate,0.04047569952799327,408.6732689999999,492.53647923025983,0.1,0.13333333333333333
512,10,covariate,0.03880353144680469,342.61306466666673,409.38933508286414,0.06666666666666667,0.03333333333333333
512,11,covariate,0.03840667793865743,383.27371533333337,501.81488033297535,0.06666666666666667,0.23333333333333334
512,12,covariate,0.03379448319197354,339.263986,415.8874082464731,0.03333333333333333,0.06666666666666667
512,14,covariate,0.028472039697131236,175.98408220000005,241.68142989699373,0.0,0.06666666666666667
512,15,covariate,0.05074195285809258,445.0091560000001,631.9732400846455,0.0,0.23333333333333334
512,16,covariate,0.03086090616997991,366.40438866666665,439.4954685206421,0.03333333333333333,0.16666666666666666
512,17,covariate,0.04267833833841438,346.69057466666675,461.0005701714246,0.06666666666666667,0.13333333333333333
512,18,covariate,0.03191730015609728,321.22091900000004,399.43748739538415,0.06666666666666667,0.06666666666666667
512,19,covariate,0.04077361881655105,383.19774309999997,440.80614056643896,0.03333333333333333,0.2
512,21,covariate,0.06713035673371127,489.36186533333324,722.996424326387,0.06666666666666667,0.2
512,23,covariate,0.04151385516297645,280.8240856666667,399.99944196984245,0.03333333333333333,0.16666666666666666
512,24,covariate,0.04091634969231125,569.5868686666666,701.0426561480302,0.0,0.2
512,25,covariate,0.04385025346666904,530.1677693333335,788.2251447734723,0.03333333333333333,0.23333333333333334
512,26,covariate,0.03998633005028306,362.68213533333335,484.7468548458635,0.03333333333333333,0.2
512,27,covariate,0.044674757851509456,525.8441123333334,735.7836206779256,0.06666666666666667,0.13333333333333333
512,28,covariate,0.03550554645497394,209.10157540000003,323.16910822290475,0.0,0.03333333333333333
512,29,covariate,0.03596161378235978,366.704335,457.93261459158316,0.1,0.06666666666666667
512,30,covariate,0.031021012711157047,152.5047305333333,201.965755566751,0.0,0.03333333333333333
512,31,covariate,0.03478723392104012,265.70693216666666,365.2990948200799,0.06666666666666667,0.13333333333333333
512,33,covariate,0.038728495550707044,429.20116699999994,539.3296899305434,0.06666666666666667,0.2
512,34,covariate,0.040118840212667074,490.8241200000001,608.2546335121851,0.03333333333333333,0.2
512,35,covariate,0.05261723640667085,757.4073076666666,941.6266663805252,0.0,0.3333333333333333
512,37,covariate,0.03822321136743241,397.3885032666667,461.16496697671846,0.03333333333333333,0.2
512,38,covariate,0.03893867507717871,314.69935366666675,398.38433946607626,0.03333333333333333,0.03333333333333333
512,39,covariate,0.04806519115390739,302.63178946666665,446.03080389098085,0.0,0.2
512,40,covariate,0.0409635630381992,247.4776724666667,309.16562799562433,0.13333333333333333,0.16666666666666666
512,42,covariate,0.0393116493135156,500.694119,657.6178739561652,0.06666666666666667,0.1
512,43,covariate,0.03960534653299049,334.81984399999993,416.75937145416447,0.0,0.13333333333333333
512,44,covariate,0.03430352860589369,226.1445676666667,300.80277684153464,0.03333333333333333,0.1
512,45,covariate,0.036544858036955834,274.726877,349.8646694008887,0.06666666666666667,0.13333333333333333
512,47,covariate,0.03633313793053734,382.5209446666666,443.31480631369874,0.03333333333333333,0.06666666666666667
512,48,covariate,0.034428280600699045,158.38031466666664,201.1178561611881,0.03333333333333333,0.06666666666666667
512,49,covariate,0.031011887962943893,356.9206786666668,435.78140042507783,0.03333333333333333,0.16666666666666666
512,50,covariate,0.05924872813452219,361.0311076666667,441.8651922754721,0.1,0.3
512,53,covariate,0.05154915746732789,380.9717434,487.72820258492595,0.03333333333333333,0.26666666666666666
512,54,covariate,0.03432893318836827,384.27085300000005,500.6089904853466,0.1,0.13333333333333333
512,55,covariate,0.04071934405724905,274.88458986666666,339.14607080617924,0.06666666666666667,0.2
512,56,covariate,0.029381215840654923,352.40936726666666,438.5053398002365,0.03333333333333333,0.1
512,57,covariate,0.03745970854352577,479.3124802000001,574.7937614865056,0.03333333333333333,0.16666666666666666
512,59,covariate,0.03876146637850399,276.5825464666667,347.10313648217726,0.06666666666666667,0.13333333333333333
512,60,covariate,0.045434069942425326,554.3763813333333,666.6933817684529,0.06666666666666667,0.3
512,61,covariate,0.06875150358371718,459.4485024333335,674.0374737365888,0.13333333333333333,0.3
512,62,covariate,0.03180997207693793,286.32078900000005,336.05055457328837,0.1,0.0
512,63,covariate,0.04177167520322733,431.4570294666666,571.873039382622,0.0,0.13333333333333333
512,64,covariate,0.035334372369577045,553.7595333333334,695.3038964111903,0.06666666666666667,0.13333333333333333
512,65,covariate,0.0335383310377107,231.6879173333333,301.52920952419765,0.03333333333333333,0.06666666666666667
512,66,covariate,0.03876690862897748,344.4596745333334,430.39441906402175,0.2,0.13333333333333333
512,67,covariate,0.04304795661569358,500.8810869999998,631.6280007620826,0.0,0.26666666666666666
512,68,covariate,0.05099906409724719,602.458854,732.8653256624851,0.16666666666666666,0.26666666666666666
512,69,covariate,0.030478753178684814,384.61137450000007,490.7666355457533,0.06666666666666667,0.1
512,70,covariate,0.04921819924031621,473.5335096666667,555.0130625381557,0.06666666666666667,0.3
512,71,covariate,0.044252871815481966,525.9592073333333,661.1899007739524,0.03333333333333333,0.16666666666666666
512,73,covariate,0.03304968471910085,191.45619203333337,267.9921621195394,0.0,0.13333333333333333
512,74,covariate,0.03373261720279982,260.9710752666667,334.87769213596874,0.13333333333333333,0.06666666666666667
512,75,covariate,0.04414705257187589,407.5455306466666,480.5397902657153,0.16666666666666666,0.16666666666666666
512,77,covariate,0.03585547922803289,392.4684573333333,490.8823191470442,0.03333333333333333,0.13333333333333333
512,78,covariate,0.057508665332347414,283.33620033333335,373.7488759776547,0.03333333333333333,0.23333333333333334
512,79,covariate,0.03879461960256569,324.65712266666674,389.38963935722546,0.0,0.3
512,80,covariate,0.03499542322747346,384.23925766666673,481.70010244686466,0.06666666666666667,0.16666666666666666
512,82,covariate,0.04035759668018538,454.3737478,629.1221227642287,0.0,0.16666666666666666
512,83,covariate,0.041329753933010784,208.5940366666666,252.94585743963074,0.13333333333333333,0.03333333333333333
512,84,covariate,0.03358559481031893,562.9482489999999,739.4812480509514,0.06666666666666667,0.06666666666666667
512,85,covariate,0.04251282765331261,489.0580833333333,591.1069621840712,0.13333333333333333,0.3333333333333333
512,86,covariate,0.04237325103077765,252.94973115000002,312.54838458081554,0.06666666666666667,0.13333333333333333
512,87,covariate,0.03402561092702485,288.79364069999997,343.0104916325296,0.06666666666666667,0.13333333333333333
512,88,covariate,0.03689492506676286,309.98652080000005,398.7693286339274,0.03333333333333333,0.2
512,90,covariate,0.03459365301090996,420.10036066666663,505.81860530048607,0.1,0.1
512,91,covariate,0.05463131124878676,341.79125433333337,468.79523408740476,0.03333333333333333,0.16666666666666666
512,92,covariate,0.0407360142615703,369.13530533333335,432.15046819463157,0.06666666666666667,0.16666666666666666
512,93,covariate,0.04607649424430498,336.8602198666666,476.5210828770089,0.03333333333333333,0.2
512,94,covariate,0.03714634835886656,358.88553333333334,479.5253121086894,0.03333333333333333,0.13333333333333333
512,95,covariate,0.0358093005433333,304.707365,451.2238960797752,0.03333333333333333,0.13333333333333333
512,96,covariate,0.056628150529139325,394.57818598,504.8244327280089,0.06666666666666667,0.26666666666666666
512,97,covariate,0.03748024229172894,359.45934399999993,446.64174873945734,0.03333333333333333,0.2
512,98,covariate,0.044596748441355666,344.44419966666663,427.3036332024398,0.1,0.16666666666666666
512,101,covariate,0.05175817455381482,576.6575483333334,728.2514181439999,0.0,0.4
512,102,covariate,0.05788114596669214,493.8533429333333,773.9126302891053,0.0,0.2
512,103,covariate,0.028975559013411343,185.26874503333332,234.4470649606401,0.03333333333333333,0.13333333333333333
512,104,covariate,0.03698338386185565,540.6308543333332,646.5931153052597,0.03333333333333333,0.23333333333333334
512,105,covariate,0.050434912846582795,338.0211183566667,458.71694284805693,0.1,0.13333333333333333
512,106,covariate,0.04398528069032851,512.6777846666666,647.645166909671,0.03333333333333333,0.3
512,107,covariate,0.0302497632435358,339.8718406666666,400.1155602737164,0.03333333333333333,0.1
